run_dir	dataset	model	interaction_method	meta_present	dataset.name	dataset.all_times	n	L	w	gamma	dataset.cross_coeff	dataset.noise	lbl	tws	m	h	ly	bsval	taumax	clf.epoch	clf.train_loss	clf.accuracy	clf.precision	clf.recall	clf.f1	clf.auroc	clf.auprc	clf.val_loss	noise	window_size	dm	pairwise.ls.precision	pairwise.ls.recall	pairwise.ls.f1	pairwise.ls.tp	pairwise.ls.fp	pairwise.ls.fn	pairwise.ls.auroc	pairwise.ls.auprc	pairwise.la.precision	pairwise.la.recall	pairwise.la.f1	pairwise.la.tp	pairwise.la.fp	pairwise.la.fn	pairwise.la.auroc	pairwise.la.auprc	pairwise.lag_locality.mean_lag_error	pairwise.lag_locality.mean_loc@5	pairwise.strength.spearman	pairwise.delta	dataset.p	d	dataset.a1	dataset.split_ratio	a1	pointwise.AOPC_deletion	pointwise.AOPC_insertion	pointwise.Sufficiency	pointwise.Comprehensiveness	dataset.a9	dataset.a10
../runs_new/var_local_a10.4_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0671	0.9625	0.9318	1.0	0.9647	1.0	1.0	0.0737	0.05		16.0																						3.0	0.4	0.8	0.4						
../runs_new/var_local_a10.4_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0603	0.975	1.0	0.9459	0.9722	1.0	1.0	0.0527	0.05		32.0																						3.0	0.4	0.8	0.4						
../runs_new/var_local_a10.8_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0047	0.9875	1.0	0.9722	0.9859	0.9987	0.9985	0.0531	0.05		16.0																						3.0	0.8	0.8	0.8						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.2301	0.85	0.7647	1.0	0.8667	0.9969	0.9968	0.4515	0.05		8.0																						3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.1646	0.975	0.9783	0.9783	0.9783	0.9955	0.9966	0.0994	0.05		16.0																						3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.8_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0007	0.9625	0.9767	0.9545	0.9655	0.9949	0.996	0.1947	0.05		32.0																						3.0	0.8	0.8	0.8						
../runs_new/var_local_a10.8_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.1412	0.95	0.9143	0.9697	0.9412	0.9923	0.9909	0.1069	0.05		8.0																						3.0	0.8	0.8	0.8						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep100	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	100.0	0.1715	0.9125	0.8537	0.9722	0.9091	0.9905	0.9906	0.1613	0.05		16.0																						3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.2_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0511	0.9375	0.9474	0.9231	0.9351	0.9894	0.9895	0.1751	0.05		16.0																						3.0	0.2	0.8	0.2						
../runs_new/var_local_a10.4_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.173	0.8375	0.74	1.0	0.8506	0.9881	0.9874	0.3274	0.05		8.0																						3.0	0.4	0.8	0.4						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep100	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	100.0	0.3017	0.8375	0.7234	1.0	0.8395	0.9821	0.9768	0.348	0.05		8.0																						3.0	0.05	0.8	0.05						
../runs_new/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.08	0.8625	0.8444	0.9048	0.8736	0.9718	0.9763	0.2268	0.05		8.0																						3.0	0.1	0.8	0.1						
../runs_new/var_local_a10.1_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.0901	0.8875	0.85	0.9189	0.8831	0.9761	0.9739	0.215	0.05		16.0																						3.0	0.1	0.8	0.1						
../runs_new/var_local_a10.05_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs16_ep200	var_local	transformer		True	var_local	False	400.0	50.0				0.05			transformer		2.0	32.0	25.0	200.0	0.1596	0.875	0.878	0.878	0.878	0.9675	0.9738	0.2548	0.05		8.0																						3.0	0.05	0.8	0.05						
